station_id,station_number,station_display_name,timestamp,latitude,longitude,available_bikes,station_capacity,available_racks,is_stockout,hour,day_of_week,is_weekend,air_quality_pm10,air_quality_pm25,air_quality_o3,air_quality_no2,air_quality_co,air_quality_so2,air_quality_data_time,air_source,temperature,humidity,precipitation,wind_speed,is_raining,weather_severity,weather_timestamp,weather_source
ST-2891,3882,자양2동 주민센터,2025-11-25 15:19:27.953038,37.52879333,127.08463287,9,3,-6,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-3012,3886,광진구 민방위교육센터,2025-11-25 15:19:27.953038,37.5391922,127.09801483,5,12,7,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-3188,3890,웰츠타워 오피스텔,2025-11-25 15:19:27.953038,37.53803253,127.08355713,2,7,5,1,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-3309,3894,노룬산시장 앞,2025-11-25 15:19:27.953038,37.5369606,127.06273651,6,8,2,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-3340,3899,아차산역 2번출구,2025-11-25 15:19:27.953038,37.55105209,127.09043884,12,10,-2,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-3351,3900,건국대학교 신공학관,2025-11-25 15:19:27.953038,37.54088593,127.07928467,22,10,-12,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-3367,5151,진넥스베르디엠 앞,2025-11-25 15:19:27.953038,37.54163742,127.09508514,19,5,-14,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-3369,5152,이스트폴 105동 방면 입구,2025-11-25 15:19:27.953038,37.53387451,127.0881424,4,9,5,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-388,577,광진청소년수련관,2025-11-26 11:09:26.194176,37.54654694,127.10613251,9,10,1,0,11,2,0,,,,,,,,,8.5,52.0,0.0,1.0,0,0,,KMA_UltraSrtNcst
ST-097,500,어린이대공원역 3번출구 앞,2025-11-25 15:29:30.711723,37.54705048,127.07433319,16,5,-11,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-098,501,광진문화예술회관 앞,2025-11-25 15:29:30.711723,37.53730774,127.07035065,28,30,2,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-099,502,자양(뚝섬한강공원)역 1번출구 앞,2025-11-25 15:29:30.711723,37.53186035,127.06719208,17,33,16,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-102,505,자양사거리 광진아크로텔 앞,2025-11-25 15:29:30.711723,37.53701019,127.08224487,1,11,10,1,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-113,515,광양중학교 앞,2025-11-25 15:29:30.711723,37.53023529,127.08683014,5,15,10,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-114,516,광진메디칼 앞,2025-11-25 15:29:30.711723,37.54840469,127.06936646,12,10,-2,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-252,539,군자교교차로,2025-11-25 15:29:30.711723,37.55979538,127.07420349,9,10,1,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-253,540,군자역 7번출구 베스트샵 앞,2025-11-25 15:29:30.711723,37.55603027,127.0786438,16,8,-8,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
